deviceId,date,steps_sum,steps_max_5min,sensor_intervals,steps_observed,steps_coverage
ab60,2021-03-04,,,30,0,0.0
ab60,2021-03-08,0.0,0.0,30,19,0.6333333333333333
ab60,2021-03-09,19.0,15.0,36,11,0.3055555555555556
ab60,2021-03-10,3.0,3.0,29,20,0.6896551724137931
ab60,2021-03-11,55.69047619047619,44.0,60,39,0.65
ab60,2021-03-12,0.0,0.0,11,8,0.7272727272727273
ab60,2021-03-13,0.0,0.0,31,22,0.7096774193548387
ab60,2021-03-14,21.166666666666664,10.666666666666666,64,36,0.5625
ab60,2021-03-15,37.666666666666664,36.0,39,28,0.717948717948718
ab60,2021-03-16,28.583333333333332,14.75,24,20,0.8333333333333334
ab60,2021-03-17,6.214285714285714,3.5,31,19,0.6129032258064516
ab60,2021-03-18,0.0,0.0,34,27,0.7941176470588235
ab60,2021-03-19,85.0,85.0,31,20,0.6451612903225806
ab60,2021-03-20,10.5,10.5,40,27,0.675
ab60,2021-03-21,0.0,0.0,16,7,0.4375
ab60,2021-03-22,5.7,2.2,22,19,0.8636363636363636
ab60,2021-03-24,20.921568627450984,11.333333333333334,42,30,0.7142857142857143
ab60,2021-03-25,533.3333333333334,525.0,59,29,0.4915254237288136
ab60,2021-03-26,55.333333333333336,41.0,66,33,0.5
ab60,2021-03-27,41.833333333333336,24.0,35,10,0.2857142857142857
ab60,2021-03-28,16.166666666666668,6.0,52,26,0.5
ab60,2021-03-29,24.857142857142858,13.0,73,56,0.7671232876712328
ab60,2021-03-30,13.107142857142858,11.25,63,50,0.7936507936507936
ab60,2021-03-31,14.13888888888889,5.222222222222222,28,25,0.8928571428571429
ab60,2021-04-01,2.833333333333333,2.833333333333333,45,35,0.7777777777777778
ab60,2021-04-02,9.5,9.5,59,43,0.7288135593220338
ab60,2021-04-03,30.142857142857142,8.285714285714286,35,26,0.7428571428571429
ab60,2021-04-04,0.0,0.0,18,14,0.7777777777777778
am77,2021-03-05,,,9,0,0.0
am77,2021-03-06,,,11,0,0.0
am77,2021-03-07,,,15,0,0.0
am77,2021-03-08,0.0,0.0,5,2,0.4
am77,2021-03-09,11.5,11.0,15,8,0.5333333333333333
am77,2021-03-10,0.0,0.0,4,2,0.5
am77,2021-03-11,23.0,23.0,11,9,0.8181818181818182
am77,2021-03-12,0.0,0.0,8,5,0.625
am77,2021-03-13,0.0,0.0,11,2,0.18181818181818182
am77,2021-03-14,0.0,0.0,14,6,0.42857142857142855
am77,2021-03-15,0.0,0.0,5,3,0.6
am77,2021-03-16,5.714285714285714,5.714285714285714,7,2,0.2857142857142857
am77,2021-03-17,0.0,0.0,18,4,0.2222222222222222
am77,2021-03-18,0.0,0.0,2,1,0.5
am77,2021-03-19,0.0,0.0,8,5,0.625
am77,2021-03-20,14.0,14.0,40,17,0.425
am77,2021-03-21,3.0,3.0,1,1,1.0
am77,2021-03-22,2.4,2.4,3,1,0.3333333333333333
am77,2021-03-23,16.916666666666664,15.666666666666666,6,4,0.6666666666666666
am77,2021-03-24,,,1,0,0.0
am77,2021-03-25,0.0,0.0,3,1,0.3333333333333333
am77,2021-03-26,12.0,12.0,11,5,0.45454545454545453
am77,2021-03-27,0.0,0.0,18,5,0.2777777777777778
am77,2021-03-28,0.0,0.0,16,8,0.5
am77,2021-03-29,0.0,0.0,5,4,0.8
am77,2021-03-30,0.0,0.0,4,1,0.25
am77,2021-03-31,7.75,7.75,4,2,0.5
am77,2021-04-01,,,6,0,0.0
am77,2021-04-02,,,4,0,0.0
am77,2021-04-03,0.0,0.0,11,1,0.09090909090909091
am77,2021-04-04,0.0,0.0,9,3,0.3333333333333333
av54,2021-03-08,,,12,0,0.0
av54,2021-03-09,,,20,0,0.0
av54,2021-03-10,,,9,0,0.0
av54,2021-03-11,,,6,0,0.0
av54,2021-03-12,,,5,0,0.0
av54,2021-03-13,,,29,0,0.0
av54,2021-03-14,0.0,0.0,22,1,0.045454545454545456
av54,2021-03-15,0.0,0.0,22,1,0.045454545454545456
av54,2021-03-16,0.0,0.0,18,1,0.05555555555555555
av54,2021-03-17,25.0,25.0,37,1,0.02702702702702703
av54,2021-03-18,,,6,0,0.0
av54,2021-03-19,0.0,0.0,13,1,0.07692307692307693
av54,2021-03-20,3.5,3.5,27,1,0.037037037037037035
av54,2021-03-21,0.0,0.0,11,1,0.09090909090909091
av54,2021-03-22,,,15,0,0.0
av54,2021-03-23,,,6,0,0.0
av54,2021-03-24,,,15,0,0.0
av54,2021-03-25,3.5,3.5,9,1,0.1111111111111111
av54,2021-03-26,,,10,0,0.0
av54,2021-03-28,,,8,0,0.0
av54,2021-03-29,,,19,0,0.0
av54,2021-03-30,,,16,0,0.0
av54,2021-03-31,,,10,0,0.0
av54,2021-04-01,,,16,0,0.0
av54,2021-04-02,,,6,0,0.0
av54,2021-04-03,,,48,0,0.0
ba30,2021-03-04,,,5,0,0.0
ba30,2021-03-11,0.0,0.0,45,10,0.2222222222222222
ba30,2021-03-12,0.0,0.0,11,1,0.09090909090909091
ba30,2021-03-13,0.0,0.0,62,11,0.1774193548387097
ba30,2021-03-14,2.7142857142857144,2.7142857142857144,15,4,0.26666666666666666
ba30,2021-03-15,0.0,0.0,11,2,0.18181818181818182
ba30,2021-03-16,7.05,4.25,41,20,0.4878048780487805
ba30,2021-03-17,0.0,0.0,16,11,0.6875
ba30,2021-03-18,0.0,0.0,26,15,0.5769230769230769
ba30,2021-03-19,72.48235294117647,66.0,45,13,0.28888888888888886
ba30,2021-03-20,2.0,2.0,54,17,0.3148148148148148
ba30,2021-03-21,24.666666666666668,24.666666666666668,36,16,0.4444444444444444
ba30,2021-03-23,24.5,20.5,22,11,0.5
ba30,2021-03-24,27.0,14.0,66,19,0.2878787878787879
ba30,2021-03-25,12.0,12.0,25,17,0.68
ba30,2021-03-26,0.0,0.0,35,17,0.4857142857142857
ba30,2021-03-27,0.0,0.0,28,11,0.39285714285714285
ba30,2021-03-28,0.0,0.0,51,6,0.11764705882352941
ba30,2021-03-29,0.0,0.0,43,28,0.6511627906976745
ba30,2021-03-30,27.0,27.0,54,18,0.3333333333333333
ba30,2021-03-31,13.666666666666666,10.666666666666666,60,22,0.36666666666666664
ba30,2021-04-01,3.25,3.25,60,27,0.45
ba30,2021-04-02,8.5,6.833333333333333,21,8,0.38095238095238093
ba30,2021-04-03,154.55,144.5,23,10,0.43478260869565216
ba30,2021-04-04,0.0,0.0,7,5,0.7142857142857143
ba30,2021-04-05,0.0,0.0,47,20,0.425531914893617
ba30,2021-04-06,9.0,5.0,85,38,0.4470588235294118
ba30,2021-04-07,1.3333333333333333,1.3333333333333333,40,18,0.45
ba30,2021-04-08,0.0,0.0,11,6,0.5454545454545454
bp16,2021-03-08,0.0,0.0,33,18,0.5454545454545454
bp16,2021-03-09,0.0,0.0,16,8,0.5
bp16,2021-03-10,2.0,2.0,35,30,0.8571428571428571
bp16,2021-03-11,0.0,0.0,10,9,0.9
