deviceId,date,hour,steps_sum,steps_max_5min,sensor_intervals,steps_observed,steps_coverage
ab60,2021-03-04,2021-03-04 04:00:00,,,1,0,0.0
ab60,2021-03-04,2021-03-04 05:00:00,,,3,0,0.0
ab60,2021-03-04,2021-03-04 06:00:00,,,7,0,0.0
ab60,2021-03-04,2021-03-04 07:00:00,,,7,0,0.0
ab60,2021-03-04,2021-03-04 08:00:00,,,3,0,0.0
ab60,2021-03-04,2021-03-04 10:00:00,,,1,0,0.0
ab60,2021-03-04,2021-03-04 11:00:00,,,8,0,0.0
ab60,2021-03-08,2021-03-08 01:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-08,2021-03-08 02:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-08,2021-03-08 03:00:00,,,1,0,0.0
ab60,2021-03-08,2021-03-08 04:00:00,0.0,0.0,2,1,0.5
ab60,2021-03-08,2021-03-08 05:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-08,2021-03-08 06:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-08,2021-03-08 07:00:00,0.0,0.0,3,1,0.3333333333333333
ab60,2021-03-08,2021-03-08 08:00:00,0.0,0.0,6,4,0.6666666666666666
ab60,2021-03-08,2021-03-08 13:00:00,0.0,0.0,5,3,0.6
ab60,2021-03-08,2021-03-08 14:00:00,0.0,0.0,8,5,0.625
ab60,2021-03-08,2021-03-08 15:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-09,2021-03-09 02:00:00,0.0,0.0,2,1,0.5
ab60,2021-03-09,2021-03-09 03:00:00,,,1,0,0.0
ab60,2021-03-09,2021-03-09 04:00:00,0.0,0.0,2,1,0.5
ab60,2021-03-09,2021-03-09 05:00:00,0.0,0.0,7,3,0.42857142857142855
ab60,2021-03-09,2021-03-09 07:00:00,,,2,0,0.0
ab60,2021-03-09,2021-03-09 08:00:00,,,3,0,0.0
ab60,2021-03-09,2021-03-09 10:00:00,19.0,15.0,3,2,0.6666666666666666
ab60,2021-03-09,2021-03-09 11:00:00,,,9,0,0.0
ab60,2021-03-09,2021-03-09 12:00:00,,,1,0,0.0
ab60,2021-03-09,2021-03-09 13:00:00,0.0,0.0,3,3,1.0
ab60,2021-03-09,2021-03-09 14:00:00,0.0,0.0,3,1,0.3333333333333333
ab60,2021-03-10,2021-03-10 00:00:00,0.0,0.0,1,1,1.0
ab60,2021-03-10,2021-03-10 04:00:00,0.0,0.0,2,2,1.0
ab60,2021-03-10,2021-03-10 08:00:00,,,1,0,0.0
ab60,2021-03-10,2021-03-10 09:00:00,0.0,0.0,2,2,1.0
ab60,2021-03-10,2021-03-10 10:00:00,0.0,0.0,3,2,0.6666666666666666
ab60,2021-03-10,2021-03-10 11:00:00,3.0,3.0,7,4,0.5714285714285714
ab60,2021-03-10,2021-03-10 12:00:00,0.0,0.0,8,6,0.75
ab60,2021-03-10,2021-03-10 13:00:00,0.0,0.0,5,3,0.6
ab60,2021-03-11,2021-03-11 01:00:00,0.0,0.0,6,3,0.5
ab60,2021-03-11,2021-03-11 02:00:00,44.0,44.0,5,2,0.4
ab60,2021-03-11,2021-03-11 03:00:00,3.333333333333333,3.333333333333333,2,1,0.5
ab60,2021-03-11,2021-03-11 04:00:00,0.0,0.0,4,1,0.25
ab60,2021-03-11,2021-03-11 05:00:00,0.0,0.0,2,2,1.0
ab60,2021-03-11,2021-03-11 06:00:00,0.0,0.0,4,3,0.75
ab60,2021-03-11,2021-03-11 07:00:00,6.5,6.5,1,1,1.0
ab60,2021-03-11,2021-03-11 09:00:00,1.8571428571428568,1.8571428571428568,8,8,1.0
ab60,2021-03-11,2021-03-11 10:00:00,0.0,0.0,6,5,0.8333333333333334
ab60,2021-03-11,2021-03-11 11:00:00,,,1,0,0.0
ab60,2021-03-11,2021-03-11 12:00:00,0.0,0.0,4,4,1.0
ab60,2021-03-11,2021-03-11 13:00:00,0.0,0.0,7,3,0.42857142857142855
